仙葫警官学校教职工宿舍,3室 2厅 2卫,8000 元/m²,125平方米,2008年,南,低层(共20层),精装修,有,22.808355,108.449753
宏桂东昇,2室 2厅 1卫,11956 元/m²,60.2平方米,2013年,东南,中层(共32层),精装修,有,22.818788,108.450561
汇东郦城,2室 2厅 1卫,14238 元/m²,68.8平方米,2013年,南,高层(共30层),精装修,有,22.815324,108.424916
摩卡生活馆,1室 1厅 1卫,17059 元/m²,51平方米,2005年,东,中层(共25层),精装修,有,22.813834,108.334714
东方广场,2室 2厅 1卫,8213 元/m²,87.7平方米,2008年,北,中层(共18层),精装修,有,22.813564,108.454998
联发君澜,4室 2厅 2卫,12524 元/m²,135.7平方米,2017年,南,中层(共33层),毛坯,有,22.849232,108.389066
保利领秀前城,3室 2厅 2卫,16477 元/m²,88平方米,2015年,南,中层(共32层),精装修,有,22.800504,108.429898
在水一方,2室 2厅 1卫,10392 元/m²,82.4平方米,2007年,南,高层(共11层),简单装修,有,22.839602,108.41071
世洋丽豪园,3室 2厅 2卫,14292 元/m²,129.4平方米,2012年,南北,中层(共7层),毛坯,有,22.816705,108.411084
青年国际,2室 1厅 1卫,10238 元/m²,42平方米,2003年,南,中层(共18层),精装修,有,22.829857,108.363058
飞扬世代,2室 2厅 1卫,9553 元/m²,58.6平方米,2011年,南,中层(共20层),豪华装修,有,22.814164,108.440779
汇东郦城,2室 2厅 1卫,15255 元/m²,68.8平方米,2012年,南,中层(共28层),豪华装修,有,22.815324,108.424916
都市100,3室 2厅 2卫,12234 元/m²,94平方米,2006年,南,低层(共12层),精装修,有,22.804337,108.352412
东方广场,2室 2厅 1卫,8182 元/m²,88平方米,2009年,北,中层(共18层),精装修,无,22.813564,108.454998
城光俊景,3室 2厅 2卫,17327 元/m²,101平方米,2014年,南,高层(共34层),精装修,有,22.833611,108.423751
新隆青年城,2室 2厅 1卫,9908 元/m²,67.6平方米,2014年,南,高层(共32层),精装修,有,22.815367,108.45365
新城悦隽江山,4室 3厅 4卫,11978 元/m²,175.3平方米,2018年,南北,低层(共6层),精装修,有,22.800728,108.455599
建政路16-3号小区,2室 1厅 1卫,14103 元/m²,78平方米,1998年,南,低层(共6层),精装修,无,22.83073,108.346116
半岛融园,3室 2厅 2卫,10223 元/m²,127.2平方米,2006年,北,高层(共11层),简单装修,有,22.782232,108.346856
钻石年代,1室 1厅 1卫,16651 元/m²,53.5平方米,2006年,南北,中层(共19层),精装修,有,22.832993,108.353534
城市印象,1室 1厅 1卫,18840 元/m²,47.8平方米,2008年,南北,中层(共30层),精装修,有,22.828711,108.387401
环球时代,1室 0厅 1卫,12707 元/m²,59.8平方米,2010年,南北,高层(共28层),精装修,有,22.818284,108.330674
新城悦隽江山,4室 2厅 2卫,11978 元/m²,175.3平方米,2018年,南,共5层,精装修,有,22.800728,108.455599
半岛东岸,4室 2厅 2卫,11619 元/m²,133.4平方米,2010年,北,高层(共18层),毛坯,有,22.784233,108.346322
力天大厦,1室 0厅 1卫,22494 元/m²,31.1平方米,2008年,东,中层(共23层),精装修,有,22.831083,108.342533
保利领秀前城,5室 2厅 3卫,18449 元/m²,196平方米,2018年,南北,共3层,毛坯,有,22.800504,108.429898
中国铁建云景山语城,4室 2厅 5卫,16479 元/m²,166.9平方米,2018年,南北,高层(共15层),精装修,有,22.831745,108.414956
南宁琅东电网生活小区,3室 2厅 2卫,23762 元/m²,101平方米,2000年,南北,中层(共6层),简单装修,无,22.825918,108.38058
绿海云天,2室 2厅 1卫,17937 元/m²,85.3平方米,2012年,南北,低层(共15层),精装修,有,22.805969,108.399576
青秀万达公馆,4室 2厅 2卫,19993 元/m²,180.1平方米,2014年,南,高层(共60层),豪华装修,有,22.836349,108.379256
华凯逸悦豪庭(一期),2室 2厅 1卫,13347 元/m²,86.2平方米,2015年,南,中层(共17层),精装修,有,22.826241,108.429165
东盟中央城(B区),3室 2厅 2卫,23042 元/m²,85.9平方米,2013年,南,高层(共22层),豪华装修,有,22.80998,108.405201
滨湖家园,4室 2厅 2卫,30000 元/m²,150平方米,2013年,东南,低层(共28层),简单装修,有,22.826282,108.375596
青年国际,2室 2厅 1卫,9216 元/m²,51平方米,2004年,南,中层(共15层),精装修,有,22.829857,108.363058
新竹小区,3室 1厅 1卫,14583 元/m²,76.8平方米,1996年,南北,中层(共6层),精装修,无,22.821497,108.358386
融创九熙府二期,3室 2厅 2卫,10000 元/m²,93平方米,2019年,南,高层(共29层),精装修,有,22.870734,108.408504
龙凤首缘,3室 2厅 1卫,11364 元/m²,88平方米,2014年,南,高层(共26层),精装修,有,22.808537,108.446512
城光俊景,3室 2厅 2卫,17327 元/m²,101平方米,2014年,南,高层(共34层),精装修,有,22.833611,108.423751
融创九熙府二期,3室 2厅 2卫,9600 元/m²,100平方米,2018年,南,中层(共30层),精装修,有,22.870734,108.408504
莱茵湖畔,3室 2厅 1卫,16647 元/m²,78.1平方米,2009年,南,中层(共11层),精装修,有,22.815013,108.422336
万科城(北区),3室 2厅 2卫,12904 元/m²,96.9平方米,2018年,南,中层(共32层),精装修,有,22.851182,108.389131
凤岭山语城,2室 2厅 2卫,18377 元/m²,73.5平方米,2012年,南,中层(共32层),精装修,有,22.826704,108.420771
汇东郦城,3室 2厅 1卫,15159 元/m²,85.8平方米,2013年,南,高层(共18层),精装修,有,22.815324,108.424916
龙胤凤凰城,2室 2厅 1卫,9494 元/m²,79平方米,2012年,南,中层(共11层),精装修,有,22.805381,108.465103
保利领秀前城,3室 2厅 2卫,12849 元/m²,89.5平方米,2018年,东南,中层(共32层),精装修,有,22.800504,108.429898
和美家园,4室 2厅 2卫,10104 元/m²,138.6平方米,2006年,南北,低层(共32层),精装修,有,22.799753,108.35838
天池山,4室 2厅 2卫,8553 元/m²,140.3平方米,2010年,南北,低层(共18层),豪华装修,有,22.816853,108.466943
新城悦隽江山,3室 2厅 2卫,11640 元/m²,98.8平方米,2018年,南,低层(共30层),精装修,有,22.800728,108.455599
华发国宾壹号,2室 2厅 1卫,16711 元/m²,76平方米,2017年,南,高层(共28层),精装修,有,22.779952,108.357897
维也纳森林,8室 2厅 3卫,14461 元/m²,207.5平方米,2008年,南,高层(共11层),豪华装修,有,22.8288,108.397556
保利童心缘,4室 2厅 2卫,15079 元/m²,126平方米,2013年,南,低层(共30层),精装修,有,22.834833,108.417579
