,LATB,LNGB,price
0,22.808355,108.449753,8000
1,22.813564000000003,108.454998,8213
2,22.849232,108.389066,12524
3,22.800504,108.429898,16477
4,22.839602,108.41071,10392
5,22.816705,108.411084,14292
6,22.804337,108.35241200000002,12234
7,22.813564000000003,108.454998,8182
8,22.833611,108.423751,17327
9,22.800728,108.455599,11978
10,22.83073,108.346116,14103
11,22.782232,108.346856,10223
12,22.800728,108.455599,11978
13,22.784233,108.346322,11619
14,22.800504,108.429898,18449
15,22.831745,108.414956,16479
16,22.825918,108.38058,23762
17,22.805969,108.399576,17937
18,22.836349,108.379256,19993
19,22.826241,108.429165,13347
20,22.80998,108.405201,23042
21,22.826282,108.375596,30000
22,22.821497,108.358386,14583
23,22.870734,108.408504,10000
24,22.808537,108.446512,11364
25,22.833611,108.423751,17327
26,22.870734,108.408504,9600
27,22.815013,108.42233600000002,16647
28,22.851182,108.389131,12904
29,22.815324,108.424916,15159
30,22.805381,108.465103,9494
31,22.800504,108.429898,12849
32,22.799753,108.35838,10104
33,22.816853,108.466943,8553
34,22.800728,108.455599,11640
35,22.779952,108.357897,16711
36,22.8288,108.397556,14461
37,22.834833,108.417579,15079
38,22.815324,108.424916,13301
39,22.784166,108.35645900000002,11654
40,22.779952,108.357897,16187
41,22.835281,108.41388899999998,19904
42,22.870734,108.408504,9700
43,22.807702,108.458703,8120
44,22.846691,108.387662,15270
45,22.799885,108.373165,9659
46,22.82996,108.387356,14623
47,22.810725,108.40108,18379
48,22.823181,108.382349,21739
49,22.822666,108.407634,15432
50,22.800504,108.429898,16629
51,22.800504,108.429898,14472
52,22.784166,108.35645900000002,11053
53,22.870734,108.408504,9450
54,22.851182,108.389131,12957
55,22.8241,108.415594,12006
56,22.810188,108.387423,24951
57,22.826704,108.420771,18378
58,22.824488,108.41826,25505
59,22.813028,108.419053,12095
60,22.836349,108.379256,22161
61,22.815324,108.424916,12051
62,22.813028,108.419053,12000
63,22.820987,108.404697,16163
64,22.851182,108.389131,13563
65,22.800728,108.455599,12098
66,22.800504,108.429898,12136
67,22.827895,108.367605,16639
68,22.827772,108.386974,18048
69,22.779952,108.357897,16111
70,22.800504,108.429898,12921
71,22.807747,108.454623,9599
72,22.800504,108.429898,12000
73,22.810725,108.40108,18779
74,22.810623,108.399987,18232
75,22.834833,108.417579,15169
76,22.82996,108.387356,13793
77,22.788783,108.358534,16963
78,22.834309,108.4194,15447
79,22.815324,108.424916,13464
80,22.815474,108.354235,21538
81,22.779952,108.357897,16778
82,22.812494,108.424256,14212
83,22.81735,108.375613,12746
84,22.813564000000003,108.454998,8213
85,22.827861,108.339278,17778
86,22.815201,108.471218,6292
87,22.846691,108.387662,15703
88,22.804597,108.404567,24472
89,22.816032,108.407193,24979
90,22.813028,108.419053,11786
91,22.800504,108.429898,12045
92,22.821948000000006,108.339145,10589
93,22.82462,108.374802,28140
94,22.798392,108.363845,8099
95,22.831745,108.414956,17977
96,22.815324,108.424916,12823
97,22.813028,108.419053,12846
98,22.832666,108.426085,13123
99,22.800504,108.429898,12000
100,22.832666,108.426085,13123
101,22.838631,108.377866,7895
102,22.805765,108.430969,10615
103,22.800504,108.429898,12000
104,22.815013,108.42233600000002,15075
105,22.815324,108.424916,13611
106,22.832577,108.355864,13333
107,22.826241,108.429165,14006
108,22.810623,108.399987,18632
109,22.815201,108.471218,6374
110,22.823299,108.411173,15304
111,22.808349,108.360391,11224
112,22.816032,108.407193,21930
113,22.835281,108.41388899999998,16287
114,22.813028,108.419053,13208
115,22.832666,108.426085,12540
116,22.808349,108.360391,12991
117,22.812364,108.428001,16038
118,22.800504,108.429898,12840
119,22.806525,108.344235,16032
120,22.800504,108.429898,12727
121,22.782232,108.346856,11242
122,22.817758,108.394975,22687
123,22.807747,108.454623,8924
124,22.810844,108.331409,14286
125,22.821668,108.414058,13408
126,22.836603,108.40915,15643
127,22.816676,108.334325,18293
128,22.81284,108.468286,9393
129,22.834309,108.4194,15026
130,22.849897,108.386616,13705
131,22.805066,108.422828,18884
132,22.816853,108.466943,7453
133,22.827205,108.43393,12778
134,22.846691,108.387662,12729
135,22.815324,108.424916,12771
136,22.810725,108.40108,19106
137,22.788485,108.362567,15000
138,22.815324,108.424916,13611
139,22.815324,108.424916,13507
140,22.815324,108.424916,13629
141,22.832666,108.426085,12540
142,22.838343,108.402488,14329
143,22.779952,108.357897,17442
144,22.815013,108.42233600000002,15075
145,22.870734,108.408504,9800
146,22.782232,108.346856,11245
147,22.834833,108.417579,13542
148,22.832666,108.426085,12540
149,22.838343,108.402488,14329
150,22.779952,108.357897,17442
151,22.815013,108.42233600000002,15075
152,22.870734,108.408504,9800
153,22.782232,108.346856,11245
154,22.834833,108.417579,13542
155,22.833048,108.350982,15625
156,22.810954,108.405838,21080
157,22.805969,108.399576,16314
158,22.81039,108.404442,25842
159,22.804818,108.456869,9565
160,22.799885,108.373165,8851
161,22.80998,108.405201,24294
162,22.870734,108.408504,10000
163,22.806446,108.341845,14602
164,22.830912,108.365765,10938
165,22.827328,108.363646,19941
166,22.821683,108.357441,10000
167,22.81039,108.404442,24198
168,22.788783,108.358534,14720
169,22.805969,108.399576,17307
170,22.813497,108.405315,17909
171,22.800504,108.429898,12921
172,22.815013,108.42233600000002,12437
173,22.817111,108.37053,12048
174,22.804597,108.404567,19023
175,22.805969,108.399576,17396
176,22.8288,108.397556,18025
177,22.82996,108.387356,14103
178,22.81561,108.374065,10159
179,22.824008,108.38268,20621
180,22.822093,108.42611,12970
181,22.838343,108.402488,14431
182,22.799885,108.373165,9858
183,22.808653,108.394114,18772
184,22.815324,108.424916,15028
185,22.832011,108.42238799999998,16385
