ID,SID,Citys,Titles,Address,REF,TEL,FAX,WWW,Region,RID,RIDS,ACC,MID,XID,LATB,LNGB,Elevation,Zoom,B_E,B_SYNC,B_WEB,adcode,province,city,district,township,poi_lat,poi_lng,poi_name,poi_addr,poi_type
1,"0","南宁市","0","石埠地铁站","0","0","0","0","0",0,0,4,2,2,22.8112939324368,108.269309100284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"0","南宁市","0","南职院地铁站","0","0","0","0","0",0,0,4,2,2,22.8365243147511,108.197514188356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"0","南宁市","0","鹏飞路地铁站","0","0","0","0","0",0,0,4,2,2,22.8341417017271,108.20856747833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"0","南宁市","0","西乡塘客运站地铁站","0","0","0","0","0",0,0,4,2,2,22.8375630017292,108.224508628244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"0","南宁市","0","民族大学地铁站","0","0","0","0","0",0,0,4,2,2,22.8421100147713,108.203536877646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"0","南宁市","0","清川地铁站","0","0","0","0","0",0,0,4,2,2,22.8226066011872,108.373450825819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"0","南宁市","0","动物园地铁站","0","0","0","0","0",0,0,4,2,2,22.8410259831159,108.275072987756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"0","南宁市","0","鲁班路地铁站","0","0","0","0","0",0,0,4,2,2,22.8438883429892,108.290473138567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"0","南宁市","0","广西大学地铁站","0","0","0","0","0",0,0,4,2,2,22.8509839411538,108.297029550685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"0","南宁市","0","白苍岭地铁站","0","0","0","0","0",0,0,4,2,2,22.8345809809852,108.31258936991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"0","南宁市","0","火车站地铁站","0","0","0","0","0",0,0,4,2,2,22.8295043491322,108.320376870204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"0","南宁市","0","朝阳广场地铁站","0","0","0","0","0",0,0,4,2,2,22.8249888878409,108.327648653305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"0","南宁市","0","新民路地铁站","0","0","0","0","0",0,0,4,2,2,23.4370971456828,108.611802081331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"0","南宁市","0","民族广场地铁站","0","0","0","0","0",0,0,4,2,2,22.8198383589472,108.338747487369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"0","南宁市","0","麻村地铁站","0","0","0","0","0",0,0,4,2,2,22.8189949085841,108.357450836894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"0","南宁市","0","南湖地铁站","0","0","0","0","0",0,0,4,2,2,30.7515468133154,120.789610051755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"0","南宁市","0","金湖广场地铁站","0","0","0","0","0",0,0,4,2,2,22.8205457272448,108.376795576553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"0","南宁市","0","会展中心地铁站","0","0","0","0","0",0,0,4,2,2,22.8151979007695,108.386522787934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"0","南宁市","0","万象城地铁站","0","0","0","0","0",0,0,4,2,2,22.815108206377,108.397215228586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"0","南宁市","0","东盟商务区地铁站","0","0","0","0","0",0,0,4,2,2,22.807945953761,108.403208543285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"0","南宁市","0","凤岭地铁站","0","0","0","0","0",0,0,4,2,2,22.8181679423453,108.4165216106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"0","南宁市","0","琅东客运站地铁站","0","0","0","0","0",0,0,4,2,2,22.8179229328428,108.418929698179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"0","南宁市","0","百花岭地铁站","0","0","0","0","0",0,0,4,2,2,22.8242554774852,108.421459775647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"0","南宁市","0","佛子岭地铁站","0","0","0","0","0",0,0,4,2,2,22.7721314789048,109.448432997041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"0","南宁市","0","火车东站地铁站","0","0","0","0","0",0,0,4,2,2,22.8477379461744,108.420795209231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
